	promoter	gene	symbol	matfem_tpm	male_tpm	pE_tpm	logFC_1	t_value_1	adj.P.Val_1	logFC_2	t_value_2	adj.P.Val_2	logFC_3	t_value_3	adj.P.Val_3	de_1	de_2	de_3
mcm6	scaffold_61_470695_470696_-	JGI_V11_307300	mcm6	14.14293306	18.1877503	17.58097638	0.399625697	1.729303643	0.236042091	-4.805020627	-3.292162627	0.052787077	2.55784385	2.800312091	0.329507657	0	0	0
smc5	scaffold_47_649347_649356_-	JGI_V11_226104	smc5	87.1797245	200.7081597	225.8650663	0.397122528	3.940985689	0.025154406	-3.931933111	4.460449092	0.005980408	0.019794451	-7.97387999	0.996577459	1	1	0
recq5	scaffold_4_1008678_1008747_-	JGI_V11_311398	recq5	17.30609811	28.24695634	34.01713558	0.21602791	1.250665327	0.381948782	-2.928830947	-1.325566309	0.034679229	2.52920525	0.235331599	0.075469704	0	1	0
tim-A	scaffold_25_47166_47192_+	JGI_V11_382	tim-A	9.60113109	7.82935398	14.55480226	0.192119587	0.794523553	0.582869855	-0.195441394	-5.04293759	0.55197072	-4.081025404	4.736926648	0.007422436	0	0	1
smc1A	scaffold_25_541547_541553_-	JGI_V11_304009	smc1A	7.970591154	18.64010948	20.01018117	0.085955918	0.279141974	0.870193323	5.520801033	-0.261624602	0.004300501	-5.336399101	0.014722047	0.007422436	0	1	1
cdk1/cdc2	scaffold_79_381752_381806_+	JGI_V11_299546	cdk1/cdc2	75.63814835	86.25148952	137.0187077	0.057381072	0.439540062	0.775224194	-0.091568172	-8.655051493	0.862446464	0.005612255	8.288326978	0.996577459	0	0	0
pms1	scaffold_4_611628_611657_-	JGI_V11_311335	pms1	30.0535555	39.49086009	68.11153381	-0.064421007	-0.3603967	0.821545429	-4.062253248	-1.830548604	0.006927391	3.870133661	2.124279807	0.012839769	0	1	1
aub-E	scaffold_16_323272_323274_-	JGI_V11_100816	aub-E	0	16.47369878	24.23605477	-0.184401932	-0.137191256	0.939691494	0.507396317	5.75649006	0.010970458	-0.904518846	-5.564215808	0.002004222	0	1	1
cdk10	scaffold_10_928060_928062_+	JGI_V11_230543	cdk10	45.44341866	64.12221814	102.6840912	-0.213386336	-1.111794725	0.438429132	-0.267136471	-3.129321789	0.319034565	0.05110856	4.064635544	0.887032936	0	0	0
recq1	scaffold_8_578496_578505_-	JGI_V11_97929	recq1	23.7504139	51.06351545	71.12794205	-0.350785998	-2.109826179	0.158019195	4.944530839	0.709198877	0.02404077	-2.221393409	1.160384486	0.077066599	0	1	0
tim-C	scaffold_24_607300_607305_+	JGI_V11_318263	tim-C	0	14.30274623	18.12126204	-2.723137429	-1.763251922	0.227633845	0.133890868	3.64412951	0.601008597	0.21689513	-2.777708476	0.413632671	0	0	0
